id_klienta,imie,nazwisko,email,data_rejestracji,miasto,kraj,segment,dni_od_rejestracji
K000001,Michał,Wójcik,user1@example.com,2022-01-01 00:00:00.000000000,Kraków,Polska,Standard,544
K000002,Maria,Kamiński,user2@example.com,2022-01-01 13:05:35.135135135,Łódź,Polska,Standard,543
K000003,Tomasz,Kowalski,user3@example.com,2022-01-02 02:11:10.270270270,Warszawa,Polska,Standard,542
K000004,Michał,Kowalski,user4@example.com,2022-01-02 15:16:45.405405405,Szczecin,Polska,Standard,542
K000005,Piotr,Kowalski,user5@example.com,2022-01-03 04:22:20.540540540,Szczecin,Polska,Premium,541
K000006,Magdalena,Lewandowski,user6@example.com,2022-01-03 17:27:55.675675675,Poznań,Polska,Standard,541
K000007,Tomasz,Dąbrowski,user7@example.com,2022-01-04 06:33:30.810810810,Wrocław,Polska,Standard,540
K000008,Tomasz,Lewandowski,user8@example.com,2022-01-04 19:39:05.945945945,Warszawa,Polska,Premium,540
K000009,Michał,Dąbrowski,user9@example.com,2022-01-05 08:44:41.081081081,Łódź,Polska,VIP,539
K000010,Anna,Lewandowski,user10@example.com,2022-01-05 21:50:16.216216216,Warszawa,Polska,Standard,539
K000011,Piotr,Lewandowski,user11@example.com,2022-01-06 10:55:51.351351351,Gdańsk,Polska,Standard,538
K000012,Michał,Wójcik,user12@example.com,2022-01-07 00:01:26.486486486,Wrocław,Polska,Standard,537
K000013,Piotr,Wiśniewski,user13@example.com,2022-01-07 13:07:01.621621621,Łódź,Polska,VIP,537
K000014,Piotr,Lewandowski,user14@example.com,2022-01-08 02:12:36.756756756,Łódź,Polska,VIP,536
K000015,Magdalena,Wójcik,user15@example.com,2022-01-08 15:18:11.891891891,Kraków,Polska,Standard,536
K000016,Tomasz,Nowak,user16@example.com,2022-01-09 04:23:47.027027027,Poznań,Polska,Premium,535
K000017,Maria,Wiśniewski,user17@example.com,2022-01-09 17:29:22.162162162,Kraków,Polska,Standard,535
K000018,Magdalena,Lewandowski,user18@example.com,2022-01-10 06:34:57.297297297,Łódź,Polska,Standard,534
K000019,Magdalena,Kamiński,user19@example.com,2022-01-10 19:40:32.432432432,Wrocław,Polska,Standard,534
K000020,Piotr,Kowalski,user20@example.com,2022-01-11 08:46:07.567567567,Warszawa,Polska,Premium,533
K000021,Katarzyna,Nowak,user21@example.com,2022-01-11 21:51:42.702702702,Warszawa,Polska,Standard,533
K000022,Tomasz,Nowak,user22@example.com,2022-01-12 10:57:17.837837837,Wrocław,Polska,Premium,532
K000023,Anna,Wójcik,user23@example.com,2022-01-13 00:02:52.972972972,Łódź,Polska,Premium,531
K000024,Magdalena,Nowak,user24@example.com,2022-01-13 13:08:28.108108108,Szczecin,Polska,Premium,531
K000025,Maria,Wiśniewski,user25@example.com,2022-01-14 02:14:03.243243243,Warszawa,Polska,Standard,530
K000026,Katarzyna,Lewandowski,user26@example.com,2022-01-14 15:19:38.378378378,Szczecin,Polska,Standard,530
K000027,Katarzyna,Lewandowski,user27@example.com,2022-01-15 04:25:13.513513513,Warszawa,Polska,Standard,529
K000028,Anna,Kamiński,user28@example.com,2022-01-15 17:30:48.648648648,Warszawa,Polska,Standard,529
K000029,Magdalena,Kowalski,user29@example.com,2022-01-16 06:36:23.783783783,Poznań,Polska,Standard,528
K000030,Maria,Wójcik,user30@example.com,2022-01-16 19:41:58.918918918,Poznań,Polska,VIP,528
K000031,Tomasz,Kowalski,user31@example.com,2022-01-17 08:47:34.054054054,Gdańsk,Polska,Standard,527
K000032,Jan,Nowak,user32@example.com,2022-01-17 21:53:09.189189189,Kraków,Polska,Standard,527
K000033,Maria,Kamiński,user33@example.com,2022-01-18 10:58:44.324324324,Wrocław,Polska,Standard,526
K000034,Anna,Kowalski,user34@example.com,2022-01-19 00:04:19.459459459,Wrocław,Polska,Standard,525
K000035,Katarzyna,Wiśniewski,user35@example.com,2022-01-19 13:09:54.594594594,Wrocław,Polska,Standard,525
K000036,Tomasz,Lewandowski,user36@example.com,2022-01-20 02:15:29.729729729,Gdańsk,Polska,Standard,524
K000037,Maria,Nowak,user37@example.com,2022-01-20 15:21:04.864864864,Poznań,Polska,VIP,524
K000038,Jan,Kamiński,user38@example.com,2022-01-21 04:26:40.000000000,Łódź,Polska,Standard,523
K000039,Jan,Kowalski,user39@example.com,2022-01-21 17:32:15.135135135,Szczecin,Polska,VIP,523
K000040,Piotr,Wójcik,user40@example.com,2022-01-22 06:37:50.270270270,Szczecin,Polska,Premium,522
K000041,Piotr,Wiśniewski,user41@example.com,2022-01-22 19:43:25.405405405,Łódź,Polska,Standard,522
K000042,Michał,Wiśniewski,user42@example.com,2022-01-23 08:49:00.540540540,Gdańsk,Polska,VIP,521
